Lon,Lat,mask
158.5,10.5,8318
159.5,10.5,8318
160.5,10.5,8318
161.5,10.5,8318
162.5,10.5,8318
163.5,10.5,8318
164.5,10.5,8318
165.5,10.5,8318
166.5,10.5,8318
167.5,10.5,8318
168.5,10.5,8318
169.5,10.5,8318
170.5,10.5,8318
171.5,10.5,8318
172.5,10.5,8318
173.5,10.5,8318
174.5,10.5,8318
131.5,9.5,8315
132.5,9.5,8315
133.5,9.5,8315
134.5,9.5,8315
135.5,9.5,8315
136.5,9.5,8316
137.5,9.5,8316
138.5,9.5,8316
139.5,9.5,8316
140.5,9.5,8316
141.5,9.5,8316
142.5,9.5,8316
143.5,9.5,8316
144.5,9.5,8316
145.5,9.5,8316
146.5,9.5,8316
147.5,9.5,8316
148.5,9.5,8316
149.5,9.5,8316
150.5,9.5,8316
151.5,9.5,8316
152.5,9.5,8316
153.5,9.5,8316
154.5,9.5,8316
155.5,9.5,8316
156.5,9.5,8316
157.5,9.5,8316
158.5,9.5,8318
159.5,9.5,8318
160.5,9.5,8318
161.5,9.5,8318
162.5,9.5,8318
163.5,9.5,8318
164.5,9.5,8318
165.5,9.5,8318
166.5,9.5,8318
167.5,9.5,8318
168.5,9.5,8318
169.5,9.5,8318
170.5,9.5,8318
171.5,9.5,8318
172.5,9.5,8318
173.5,9.5,8318
174.5,9.5,8318
130.5,8.5,8315
131.5,8.5,8315
132.5,8.5,8315
133.5,8.5,8315
134.5,8.5,8315
135.5,8.5,8315
136.5,8.5,8316
137.5,8.5,8316
138.5,8.5,8316
139.5,8.5,8316
140.5,8.5,8316
141.5,8.5,8316
142.5,8.5,8316
143.5,8.5,8316
144.5,8.5,8316
145.5,8.5,8316
146.5,8.5,8316
147.5,8.5,8316
148.5,8.5,8316
149.5,8.5,8316
150.5,8.5,8316
151.5,8.5,8316
152.5,8.5,8316
153.5,8.5,8316
154.5,8.5,8316
155.5,8.5,8316
156.5,8.5,8316
157.5,8.5,8316
158.5,8.5,8316
159.5,8.5,8316
160.5,8.5,8318
161.5,8.5,8318
162.5,8.5,8318
163.5,8.5,8318
164.5,8.5,8318
165.5,8.5,8318
166.5,8.5,8318
167.5,8.5,8318
168.5,8.5,8318
169.5,8.5,8318
170.5,8.5,8318
171.5,8.5,8318
172.5,8.5,8318
173.5,8.5,8318
174.5,8.5,8318
175.5,8.5,8318
-159.5,7.5,8441
-158.5,7.5,8441
-157.5,7.5,8441
129.5,7.5,8315
130.5,7.5,8315
131.5,7.5,8315
132.5,7.5,8315
133.5,7.5,8315
134.5,7.5,8315
135.5,7.5,8315
136.5,7.5,8316
137.5,7.5,8316
138.5,7.5,8316
139.5,7.5,8316
140.5,7.5,8316
141.5,7.5,8316
142.5,7.5,8316
143.5,7.5,8316
144.5,7.5,8316
145.5,7.5,8316
146.5,7.5,8316
147.5,7.5,8316
148.5,7.5,8316
149.5,7.5,8316
150.5,7.5,8316
151.5,7.5,8316
152.5,7.5,8316
153.5,7.5,8316
154.5,7.5,8316
155.5,7.5,8316
156.5,7.5,8316
157.5,7.5,8316
158.5,7.5,8316
159.5,7.5,8316
160.5,7.5,8316
161.5,7.5,8316
162.5,7.5,8316
163.5,7.5,8316
164.5,7.5,8318
165.5,7.5,8318
166.5,7.5,8318
167.5,7.5,8318
168.5,7.5,8318
169.5,7.5,8318
170.5,7.5,8318
171.5,7.5,8318
172.5,7.5,8318
173.5,7.5,8318
174.5,7.5,8318
175.5,7.5,8318
-160.5,6.5,8441
-159.5,6.5,8441
-158.5,6.5,8441
-157.5,6.5,8441
-156.5,6.5,8441
129.5,6.5,8315
130.5,6.5,8315
131.5,6.5,8315
132.5,6.5,8315
133.5,6.5,8315
134.5,6.5,8315
135.5,6.5,8315
136.5,6.5,8316
137.5,6.5,8316
138.5,6.5,8316
139.5,6.5,8316
140.5,6.5,8316
141.5,6.5,8316
142.5,6.5,8316
143.5,6.5,8316
144.5,6.5,8316
145.5,6.5,8316
146.5,6.5,8316
147.5,6.5,8316
148.5,6.5,8316
149.5,6.5,8316
150.5,6.5,8316
151.5,6.5,8316
152.5,6.5,8316
153.5,6.5,8316
154.5,6.5,8316
155.5,6.5,8316
156.5,6.5,8316
157.5,6.5,8316
158.5,6.5,8316
159.5,6.5,8316
160.5,6.5,8316
161.5,6.5,8316
162.5,6.5,8316
163.5,6.5,8316
164.5,6.5,8316
165.5,6.5,8318
166.5,6.5,8318
167.5,6.5,8318
168.5,6.5,8318
169.5,6.5,8318
170.5,6.5,8318
171.5,6.5,8318
172.5,6.5,8318
173.5,6.5,8318
174.5,6.5,8318
175.5,6.5,8318
-161.5,5.5,8441
-160.5,5.5,8441
-159.5,5.5,8441
-158.5,5.5,8441
-157.5,5.5,8441
-156.5,5.5,8441
-155.5,5.5,8441
129.5,5.5,8315
130.5,5.5,8315
131.5,5.5,8315
132.5,5.5,8315
133.5,5.5,8315
134.5,5.5,8315
135.5,5.5,8315
136.5,5.5,8315
137.5,5.5,8316
138.5,5.5,8316
139.5,5.5,8316
140.5,5.5,8316
141.5,5.5,8316
142.5,5.5,8316
143.5,5.5,8316
144.5,5.5,8316
145.5,5.5,8316
146.5,5.5,8316
147.5,5.5,8316
148.5,5.5,8316
149.5,5.5,8316
150.5,5.5,8316
151.5,5.5,8316
152.5,5.5,8316
153.5,5.5,8316
154.5,5.5,8316
155.5,5.5,8316
156.5,5.5,8316
157.5,5.5,8316
158.5,5.5,8316
159.5,5.5,8316
160.5,5.5,8316
161.5,5.5,8316
162.5,5.5,8316
163.5,5.5,8316
164.5,5.5,8316
165.5,5.5,8316
166.5,5.5,8318
167.5,5.5,8318
