year,mem,esm,scenario,mask,mean_annual_bio
1985,apecosm,ipsl,historical,8312,0.768038429737091
1985,apecosm,ipsl,historical,8313,0.7147116422653198
1985,apecosm,ipsl,historical,8314,1.5997896934377736
1985,apecosm,ipsl,historical,8315,3.027672478929162
1985,apecosm,ipsl,historical,8316,2.1276712136856024
1985,apecosm,ipsl,historical,8317,2.4756716912792576
1985,apecosm,ipsl,historical,8318,1.2543038360894045
1985,apecosm,ipsl,historical,8324,2.518611825530122
1985,apecosm,ipsl,historical,8325,0.541199018215311
1985,apecosm,ipsl,historical,8326,1.2257453980478081
1985,apecosm,ipsl,historical,8439,0.1963962669605794
1985,apecosm,ipsl,historical,8440,0.6996661567766416
1985,apecosm,ipsl,historical,8441,2.0874628820819057
1985,apecosm,ipsl,historical,8444,0.35213566001723795
1985,apecosm,ipsl,historical,8445,0.31573674380779265
1985,apecosm,ipsl,historical,8446,0.5777951286685082
1985,apecosm,ipsl,historical,8447,0.3027459509444959
1985,apecosm,ipsl,historical,8448,0.39064261317253113
1985,apecosm,ipsl,historical,8449,0.8460031825083273
1985,apecosm,ipsl,historical,8450,2.0321051486333213
1985,apecosm,ipsl,historical,8454,0.31770720794087365
1985,apecosm,ipsl,historical,8488,2.3722216041464557
1985,apecosm,ipsl,historical,9999,0.5863456763327122
1985,apecosm,ipsl,historical,48957,0.41141522824764254
1985,apecosm,ipsl,historical,48980,0.34667869955301284
1986,apecosm,ipsl,historical,8312,0.8681716361045837
1986,apecosm,ipsl,historical,8313,0.8202870163050565
1986,apecosm,ipsl,historical,8314,1.7911346026535693
1986,apecosm,ipsl,historical,8315,2.887448106892407
1986,apecosm,ipsl,historical,8316,2.202086817851101
1986,apecosm,ipsl,historical,8317,2.5882814007420696
1986,apecosm,ipsl,historical,8318,1.4070230425997852
1986,apecosm,ipsl,historical,8324,2.5510767500575
1986,apecosm,ipsl,historical,8325,0.6016726686522879
1986,apecosm,ipsl,historical,8326,1.5928769739898476
1986,apecosm,ipsl,historical,8439,0.1414803370995366
1986,apecosm,ipsl,historical,8440,0.7009589013300443
1986,apecosm,ipsl,historical,8441,2.1933493803361217
1986,apecosm,ipsl,historical,8444,0.4298160531941582
1986,apecosm,ipsl,historical,8445,0.373459130525589
1986,apecosm,ipsl,historical,8446,0.5877400556559204
1986,apecosm,ipsl,historical,8447,0.3126079431085876
1986,apecosm,ipsl,historical,8448,0.46682530366457425
1986,apecosm,ipsl,historical,8449,1.000959661271837
1986,apecosm,ipsl,historical,8450,2.230206042925517
1986,apecosm,ipsl,historical,8454,0.39176917218026663
1986,apecosm,ipsl,historical,8488,2.5089501506403873
1986,apecosm,ipsl,historical,9999,0.5421507221957048
1986,apecosm,ipsl,historical,48957,0.6071483358740807
1986,apecosm,ipsl,historical,48980,0.3291084423661232
1987,apecosm,ipsl,historical,8312,0.9921307268142701
1987,apecosm,ipsl,historical,8313,0.8722012454813177
1987,apecosm,ipsl,historical,8314,1.527617282703005
1987,apecosm,ipsl,historical,8315,2.6926312912255526
1987,apecosm,ipsl,historical,8316,2.002813902670059
1987,apecosm,ipsl,historical,8317,2.1443768662791096
1987,apecosm,ipsl,historical,8318,1.147001383696648
1987,apecosm,ipsl,historical,8324,2.2327245984135606
1987,apecosm,ipsl,historical,8325,0.640988227879179
1987,apecosm,ipsl,historical,8326,0.970712082611548
1987,apecosm,ipsl,historical,8439,0.1800575580285943
1987,apecosm,ipsl,historical,8440,0.586205428139421
1987,apecosm,ipsl,historical,8441,1.5788371980547191
1987,apecosm,ipsl,historical,8444,0.38213400192120495
1987,apecosm,ipsl,historical,8445,0.3727406084537506
1987,apecosm,ipsl,historical,8446,0.5006657620911957
1987,apecosm,ipsl,historical,8447,0.3018103124517383
1987,apecosm,ipsl,historical,8448,0.4478119808893937
1987,apecosm,ipsl,historical,8449,0.6226143980467761
1987,apecosm,ipsl,historical,8450,1.5444263291358948
1987,apecosm,ipsl,historical,8454,0.39191129094078425
1987,apecosm,ipsl,historical,8488,1.9452299858394422
1987,apecosm,ipsl,historical,9999,0.49711471671859425
1987,apecosm,ipsl,historical,48957,0.5127228438854218
1987,apecosm,ipsl,historical,48980,0.2648601358756423
1988,apecosm,ipsl,historical,8312,1.0588975172042847
1988,apecosm,ipsl,historical,8313,0.8399139545180581
1988,apecosm,ipsl,historical,8314,1.2145033439685557
1988,apecosm,ipsl,historical,8315,1.8786354577168822
1988,apecosm,ipsl,historical,8316,1.3247329300080521
1988,apecosm,ipsl,historical,8317,1.852369946818198
1988,apecosm,ipsl,historical,8318,0.9141909100792625
1988,apecosm,ipsl,historical,8324,2.0541788043045415
1988,apecosm,ipsl,historical,8325,0.5082578289097753
1988,apecosm,ipsl,historical,8326,0.6283184676556973
1988,apecosm,ipsl,historical,8439,0.21682212023955325
1988,apecosm,ipsl,historical,8440,0.5001845348038172
1988,apecosm,ipsl,historical,8441,1.2871190218511457
1988,apecosm,ipsl,historical,8444,0.3020469888168223
1988,apecosm,ipsl,historical,8445,0.2906216561794281
1988,apecosm,ipsl,historical,8446,0.388414261562209
1988,apecosm,ipsl,historical,8447,0.2198285853320902
1988,apecosm,ipsl,historical,8448,0.3164149266022902
1988,apecosm,ipsl,historical,8449,0.46285733249452377
1988,apecosm,ipsl,historical,8450,1.2911477692921955
1988,apecosm,ipsl,historical,8454,0.29661100960913156
1988,apecosm,ipsl,historical,8488,1.6306038316927458
