year,mask,name,min_historical,min_ssp126,min_ssp245,min_ssp585,mean_historical,mean_ssp126,mean_ssp245,mean_ssp585,median_historical,median_ssp126,median_ssp245,median_ssp585,sd_historical,sd_ssp126,sd_ssp245,sd_ssp585,max_historical,max_ssp126,max_ssp245,max_ssp585
2010,8312,New Caledonia,0.9037109913825988,NA,NA,NA,4.737605183903376,NA,NA,NA,4.249844184398651,NA,NA,NA,2.8307576156629413,NA,NA,NA,8.977297523498535,NA,NA,NA
2011,8312,New Caledonia,0.9489507126808168,NA,NA,NA,4.359191394007206,NA,NA,NA,3.8703460402488705,NA,NA,NA,2.5075574191978593,NA,NA,NA,8.47617203259468,NA,NA,NA
2012,8312,New Caledonia,0.8796680288314819,NA,NA,NA,4.096748067220052,NA,NA,NA,3.674241093635559,NA,NA,NA,2.3186582099411863,NA,NA,NA,7.965928622245789,NA,NA,NA
2013,8312,New Caledonia,0.8234717750549316,NA,NA,NA,4.295980797425906,NA,NA,NA,3.9052592058181768,NA,NA,NA,2.5643818110781176,NA,NA,NA,8.376427290916443,NA,NA,NA
2014,8312,New Caledonia,0.8445751066207886,NA,NA,NA,3.9784106008609132,NA,NA,NA,3.70821303319931,NA,NA,NA,2.2807895695006026,NA,NA,NA,8.290758744478225,NA,NA,NA
2015,8312,New Caledonia,NA,0.8716538362503051,0.8758763058185577,0.8800987753868104,NA,4.2598381232539815,4.343143772598108,4.426449421942234,NA,3.8353547506332397,4.011182111024857,4.187009471416474,NA,2.4234352141907003,2.4731773340966603,2.5268959404969564,NA,8.049583889007568,8.250073343276977,8.450562797546386
2016,8312,New Caledonia,NA,0.8036179566383362,0.8294476385116578,0.8552773203849793,NA,4.699907264546553,4.422982889296612,4.146058514046669,NA,4.2294137535095215,3.956466786146164,3.6835198187828064,NA,2.80745678765284,2.561548538985123,2.342633212051636,NA,8.268893693208694,8.101931971430778,7.934970249652863
2017,8312,New Caledonia,NA,0.8913940038681031,0.7981258006095886,0.7048575973510742,NA,4.547825459122658,4.387376602602005,4.226927746081352,NA,4.005757755756378,3.6960184280872346,3.3862791004180908,NA,2.7296508096422265,2.6342940420380274,2.594919899670276,NA,8.932370296716691,8.307323438167572,7.832141513824463
2018,8312,New Caledonia,NA,0.9597835578918456,0.91367729306221,0.8675710282325745,NA,4.70751786314249,4.603267681837082,4.499017500531673,NA,4.354166996002197,4.197991127490997,4.041815258979797,NA,2.9239680430919464,2.8148798616734862,2.7191260965286936,NA,9.508083340644836,9.141976752042769,8.775870163440704
2019,8312,New Caledonia,NA,1.1008307600021363,1.068383581161499,1.0359364023208617,NA,4.724570342290401,4.6330690524021785,4.541567762513956,NA,4.321165531635285,4.168263242959976,4.015360954284668,NA,2.8005068250540517,2.7280668761075,2.6680170871966937,NA,9.430010382175446,8.970963068127633,8.51191575407982
2020,8312,New Caledonia,NA,0.9711449494361878,0.964211802005768,0.957278654575348,NA,4.454308716579278,4.54920326513648,4.644097813693683,NA,4.050286417007446,4.215899576187134,4.381512735366821,NA,2.5724335096325337,2.6866098641128926,2.8192966320759005,NA,8.748326009750366,9.033433908939362,9.318541808128357
2021,8312,New Caledonia,NA,0.8652220511436463,0.9193012654781341,0.973380479812622,NA,4.420484628045559,4.53736361691753,4.654242605789502,NA,3.8896876945495604,4.000963684082031,4.112239673614502,NA,2.632133145469343,2.688784881614134,2.770444659808528,NA,8.691589667320251,8.751985563397408,8.812381459474564
2022,8312,New Caledonia,NA,0.8982880687713624,0.8951199724674226,0.8919518761634827,NA,4.409126510814826,4.288856021757921,4.168585532701016,NA,4.05233335018158,3.901779043912888,3.6735462131500247,NA,2.7085483372031924,2.660571571577644,2.6175225103045663,NA,9.176130502223968,9.08622297692299,8.99631545162201
