mask,scenario,year,stat,bio_corr_nash,bio_corr_reefmod_low,bio_corr_reefmod_mean,bio_corr_reefmod_upper,biomass_units
8312,SSP1-2.6,2015,lower,27.928656152911785,38.019504395452024,15.749204454012594,9.267397386701951,g/m2
8312,SSP1-2.6,2015,mean,136.48945173375165,185.80418913507896,76.96755151417572,45.29047088353645,g/m2
8312,SSP1-2.6,2015,max,257.9166766215584,351.1040476414537,145.44138643738071,85.58293395224044,g/m2
8312,SSP1-2.6,2016,lower,25.74871887882408,35.051938239736856,14.519919463049979,8.544041959700918,g/m2
8312,SSP1-2.6,2016,mean,150.58970486123062,204.99897719871018,84.91880302238135,49.96927276609,g/m2
8312,SSP1-2.6,2016,max,264.94358094729904,360.669829053785,149.4039169758698,87.91462919845742,g/m2
8312,SSP1-2.6,2017,lower,28.56115076358198,38.880524399379716,16.105873492614634,9.477274255461245,g/m2
8312,SSP1-2.6,2017,mean,145.71685250384328,198.36552406706852,82.17096053291345,48.35234358212253,g/m2
8312,SSP1-2.6,2017,max,286.20203144020263,389.60912880133776,161.39173627355333,94.96869250406792,g/m2
8312,SSP1-2.6,2018,lower,30.752420117706183,41.86351700685104,17.341548738962505,10.204389938177453,g/m2
8312,SSP1-2.6,2018,mean,150.83355601230008,205.3309337332159,85.05631274048281,50.050188421601405,g/m2
8312,SSP1-2.6,2018,max,304.64845016507604,414.72038707136926,171.79382717086523,101.08965628223663,g/m2
8312,SSP1-2.6,2019,lower,35.271712806205706,48.015666515728434,19.890015953031543,11.703999551394563,g/m2
8312,SSP1-2.6,2019,mean,151.3799344103181,206.0747230437825,85.36442012139396,50.23148986733583,g/m2
8312,SSP1-2.6,2019,max,302.14691489814925,411.3150269797279,170.38319036284807,100.25958693451963,g/m2
8312,SSP1-2.6,2020,lower,31.116450406640077,42.359074368953365,17.546828485201758,10.325183911574364,g/m2
8312,SSP1-2.6,2020,mean,142.72048302961494,194.28654218651909,80.48128254729852,47.35807638634261,g/m2
8312,SSP1-2.6,2020,max,280.3050693735844,381.58154688031397,158.0663896927425,93.01193917707475,g/m2
8312,SSP1-2.6,2021,lower,27.722575358882317,37.73896495196703,15.632993758394251,9.199014840775586,g/m2
8312,SSP1-2.6,2021,mean,141.636725580204,192.81121444837487,79.87014259284165,46.99845969374201,g/m2
8312,SSP1-2.6,2021,max,278.48718051311533,379.10684014388397,157.04126685183508,92.40872008974787,g/m2
8312,SSP1-2.6,2022,lower,28.782043462233165,39.18122740783493,16.230436746013183,9.550571746289785,g/m2
8312,SSP1-2.6,2022,mean,141.2728002035359,192.3157999041843,79.66492200751276,46.87770053274897,g/m2
8312,SSP1-2.6,2022,max,294.01235095036753,400.24137960928226,165.79604123342253,97.5603436820378,g/m2
8312,SSP1-2.6,2023,lower,31.784251435928393,43.268157284697864,17.923407110656505,10.546776296105124,g/m2
8312,SSP1-2.6,2023,mean,135.207035597299,184.05842572742654,76.244386252749,44.86493447796949,g/m2
8312,SSP1-2.6,2023,max,291.95140186879587,397.43579303767604,164.63385468648417,96.87647138871617,g/m2
8312,SSP1-2.6,2024,lower,29.221963512096394,39.780094112263846,16.478511367677108,9.696547760965851,g/m2
8312,SSP1-2.6,2024,mean,140.4272252895032,191.16471196838336,79.18809519102103,46.597118513132166,g/m2
8312,SSP1-2.6,2024,max,299.50299216145,407.71583367952707,168.89226006126432,99.38227001219524,g/m2
8312,SSP1-2.6,2025,lower,30.892078952887264,42.053635703180696,17.420303532499062,10.250732086439106,g/m2
8312,SSP1-2.6,2025,mean,144.92912015475386,197.29317768045146,81.72675162601423,48.09095511167832,g/m2
8312,SSP1-2.6,2025,max,299.31209983721357,407.45597042221067,168.7846142716982,99.3189273645188,g/m2
8312,SSP1-2.6,2026,lower,30.15951479490886,41.056390219125895,17.0072044332615,10.00764974384194,g/m2
8312,SSP1-2.6,2026,mean,126.17113448851056,171.75778082559026,71.14896550606507,41.86660595605266,g/m2
8312,SSP1-2.6,2026,max,269.63579052296,367.0573717128193,152.04989347912723,89.47161677857072,g/m2
8312,SSP1-2.6,2027,lower,26.190857098762116,35.653824556940805,14.769244929503234,8.690754016363465,g/m2
8312,SSP1-2.6,2027,mean,131.2448543873031,178.6646765579624,74.01007889408407,43.55018780379671,g/m2
8312,SSP1-2.6,2027,max,271.353111510243,369.39517459409404,153.0183052492391,90.0414650355917,g/m2
8312,SSP1-2.6,2028,lower,27.596115433175562,37.5668140373318,15.561681941087665,9.1570524069728,g/m2
8312,SSP1-2.6,2028,mean,151.01475808925383,205.57760557891763,85.1584941179831,50.11031561301484,g/m2
8312,SSP1-2.6,2028,max,314.8432600548053,428.59866382379187,177.5427663408724,104.47253850946295,g/m2
8312,SSP1-2.6,2029,lower,32.954808159334426,44.86164557310668,18.58349390684912,10.935195067852884,g/m2
8312,SSP1-2.6,2029,mean,147.93212532469855,201.38119278698474,83.42017153633759,49.08742419031303,g/m2
8312,SSP1-2.6,2029,max,301.7384528829961,410.75898435112936,170.1528551919353,100.12404944961266,g/m2
8312,SSP1-2.6,2030,lower,28.79567768208447,39.199787781049,16.23812519743145,9.555095907163402,g/m2
8312,SSP1-2.6,2030,mean,128.21921058662255,174.54584330120892,72.30389286919848,42.54620668497749,g/m2
8312,SSP1-2.6,2030,max,264.9009869834816,360.6118455480369,149.37989788089456,87.90049550055194,g/m2
8312,SSP1-2.6,2031,lower,26.115339181997978,35.551021409068966,14.726659740135448,8.665695361889101,g/m2
8312,SSP1-2.6,2031,mean,139.9343405347214,190.49374398487998,78.91015332611985,46.43356754013149,g/m2
